"Austria";"Belgium";"Denmark";"Finland";"France";"Germany";"Italy";"Netherlands";"Norway";"Sweden";"Switzerland";"United Kingdom";"Greece";"Portugal";"Spain";"Australia";"New Zealand";"Canada";"United States";"Argentina";"Brazil";"Chile";"Colombia";"Mexico";"Peru";"Uruguay";"Venezuela";"Ecuador";"India";"Japan";"Sri Lanka"
"4,217";"4,358";"4,574";"3,322";"3,309";"5,711";"2,822";"4,531";"4,112";"4,712";"8,047";"7,482";"1,874";"1,747";"2,030";"6,788";"6,129";"6,051";"8,206";"4,304";"1,307";"3,141";"1,877";"1,949";"1,880";"3,682";"3,903";"1,091";"691";"2,873";"1,277"
"3,983";"3,997";"4,629";"3,327";"2,981";"5,740";"2,648";"4,107";"3,928";"4,741";"7,669";"7,639";"1,579";"1,708";"2,126";"7,505";"6,762";"7,033";"9,741";"4,284";"1,229";"3,226";"1,832";"2,032";"1,807";"3,338";"3,347";"1,113";"679";"2,818";"1,323"
"4,065";"3,907";"5,080";"3,697";"2,860";"5,890";"2,234";"3,981";"3,820";"4,880";"7,643";"7,744";"1,327";"1,806";"2,188";"7,703";"6,928";"7,263";"11,518";"4,182";"1,368";"3,256";"1,792";"2,051";"1,804";"3,331";"3,575";"1,222";"698";"2,822";"1,284"
"4,152";"4,112";"5,543";"3,685";"2,422";"6,084";"1,797";"2,649";"3,588";"5,011";"7,724";"7,405";"1,116";"1,893";"2,271";"7,362";"6,868";"7,443";"12,333";"4,579";"1,386";"3,256";"1,863";"2,159";"1,926";"3,705";"4,309";"1,207";"683";"2,659";"1,154"
"1,725";"4,333";"5,066";"3,450";"2,573";"4,514";"1,609";"2,686";"3,980";"5,145";"7,475";"7,056";"938";"1,804";"2,102";"6,917";"6,928";"7,133";"11,709";"4,356";"1,390";"3,471";"1,899";"2,134";"1,964";"3,764";"5,102";"1,181";"664";"1,346";"1,116"
"1,956";"4,574";"5,777";"3,683";"3,855";"2,217";"2,162";"4,457";"4,335";"5,646";"8,997";"6,745";"1,386";"1,928";"2,179";"6,595";"7,161";"6,931";"9,197";"4,665";"1,501";"3,699";"2,017";"2,211";"2,005";"4,083";"5,948";"1,289";"622";"1,444";"1,050"
"2,166";"4,800";"6,035";"3,717";"4,138";"2,436";"2,556";"5,048";"4,864";"6,091";"9,182";"6,604";"1,763";"2,071";"2,198";"6,664";"7,846";"7,088";"8,886";"5,089";"1,518";"3,240";"2,042";"2,221";"2,027";"4,313";"6,894";"1,392";"618";"1,541";"1,073"
"2,764";"5,024";"6,133";"3,957";"4,393";"2,834";"2,735";"5,490";"5,144";"6,162";"9,116";"6,746";"1,798";"2,046";"2,186";"6,967";"6,929";"7,065";"9,065";"5,252";"1,596";"3,712";"2,050";"2,248";"2,059";"4,405";"7,394";"1,539";"617";"1,725";"1,159"
"3,293";"5,193";"6,494";"4,143";"4,946";"3,282";"2,948";"5,880";"5,227";"6,353";"8,757";"6,956";"1,869";"2,057";"2,155";"7,237";"7,521";"7,064";"8,944";"5,047";"1,659";"3,569";"2,107";"2,304";"2,177";"4,504";"7,544";"1,524";"624";"1,800";"1,199"
"3,706";"5,462";"6,943";"4,253";"5,186";"3,881";"3,172";"5,996";"5,430";"6,739";"9,064";"6,939";"1,915";"2,086";"2,189";"7,412";"8,456";"7,291";"9,561";"4,987";"1,672";"3,670";"2,153";"2,365";"2,308";"4,659";"7,462";"1,607";"619";"1,921";"1,253"
"3,959";"5,747";"6,936";"4,571";"5,461";"4,206";"3,451";"6,032";"5,670";"6,949";"9,684";"7,123";"2,062";"2,168";"2,386";"7,507";"7,653";"7,533";"10,116";"5,073";"1,702";"3,731";"2,150";"2,477";"2,426";"4,955";"7,663";"1,606";"623";"2,126";"1,293"
"3,967";"5,668";"6,955";"4,674";"5,564";"4,553";"3,591";"6,084";"5,814";"6,996";"9,630";"7,091";"2,053";"2,161";"2,558";"7,418";"7,796";"7,833";"10,316";"4,717";"1,752";"3,893";"2,214";"2,504";"2,487";"4,957";"7,992";"1,747";"629";"2,336";"1,313"
"4,137";"5,818";"7,292";"4,652";"5,684";"4,905";"3,830";"6,543";"5,985";"7,145";"9,840";"7,346";"2,309";"2,298";"2,528";"7,505";"7,856";"7,984";"10,613";"4,874";"1,784";"4,112";"2,277";"2,439";"2,579";"5,139";"7,956";"1,761";"657";"2,474";"1,299"
"4,555";"6,029";"7,371";"5,002";"5,915";"5,247";"3,947";"6,907";"6,226";"7,402";"10,287";"7,619";"2,358";"2,393";"2,696";"7,791";"8,743";"7,699";"10,359";"4,980";"1,848";"3,907";"2,358";"2,605";"2,583";"5,391";"8,417";"1,877";"672";"2,582";"1,296"
"5,053";"6,280";"7,395";"5,197";"6,199";"5,797";"4,190";"7,326";"6,301";"7,566";"10,867";"7,868";"2,514";"2,475";"2,778";"8,027";"8,725";"8,201";"10,897";"5,237";"1,926";"3,975";"2,373";"2,742";"2,703";"5,352";"8,750";"1,912";"676";"2,771";"1,337"
"5,397";"6,422";"7,439";"5,295";"6,448";"6,177";"4,368";"7,499";"6,575";"7,797";"11,439";"7,929";"2,706";"2,564";"2,978";"8,108";"9,000";"8,652";"10,914";"5,285";"1,896";"3,957";"2,391";"2,843";"2,751";"5,360";"9,124";"1,922";"701";"2,948";"1,312"
"5,716";"6,495";"7,965";"5,490";"6,762";"6,492";"4,591";"7,614";"6,711";"8,092";"11,705";"8,017";"2,859";"2,659";"3,046";"8,090";"9,045";"8,607";"10,920";"5,461";"1,994";"4,264";"2,400";"2,965";"2,810";"5,333";"10,058";"1,941";"680";"3,136";"1,297"
"5,907";"6,442";"8,095";"5,474";"6,855";"6,737";"4,823";"7,482";"6,652";"8,083";"11,297";"7,966";"2,963";"2,672";"3,150";"8,305";"9,185";"8,534";"10,631";"5,698";"2,111";"4,392";"2,383";"3,025";"2,743";"5,402";"9,816";"1,939";"716";"3,289";"1,301"
"6,051";"6,608";"8,637";"5,754";"6,979";"7,177";"5,131";"7,737";"6,874";"8,288";"11,870";"8,240";"3,040";"2,794";"3,050";"8,628";"9,630";"8,676";"11,230";"5,241";"2,221";"4,042";"2,473";"3,016";"2,682";"4,860";"9,997";"1,975";"717";"3,554";"1,285"
